Name,Perihelion time,Perihelion AU,Eccentricity,Long. perihelion,Long. node,Inclination,Semimajor axis,Period
-none-
NAKAMURA-NISHIMURA-MACHHOLZ (1994m),1994-7-10.627,1.18077,1,119.368,161.397,94.963,,Parabolic
McNAUGHT-HARTLEY (1994n),1995-1-6.084,1.94029,1,344.135,28.571,17.887,,Parabolic
NAKAMURA-NISHIMURA-MACHHOLZ (1994m),1994-7-12.902,1.14088,1,123.005,158.960,94.388,,Parabolic
McNAUGHT-HARTLEY (1994n),1994-11-11.202,2.60969,0.61969,300.216,38.118,17.655,6.86205 AU,17.98 years
MACHHOLZ (1994o),1994-9-13.758,0.75747,1,140.594,252.947,15.547,,Parabolic
MACHHOLZ 2 (1994o),1994-9-17.821,0.75272,0.79054,147.547,247.484,13.266,3.59366 AU,6.81 years
NAKAMURA-NISHIMURA-MACHHOLZ (1994m),1994-7-12.9393,1.140138,1,123.0713,158.9124,94.3780,,Parabolic
MACHHOLZ 2 (1994o),1994-9-18.8010,0.752551,0.750261,149.2566,246.1808,12.7877,3.013353 AU,5.231 years
MACHHOLZ (1994r),1994-10-5.574,1.83977,1,144.449,249.603,102.027,,Parabolic
