Name,Star/Constellation,Right ascension,Declination,Magnitude,Spectral class
Achernar,Alpha Eridani,1h 37m 42.5s,"-57° 14' 12""",0.6,B5
Acrux,Alpha 1 Crucis,12h 26m 35.9s,"-63° 5' 57""",1.6,B1
Acubens,Alpha Cancri,8h 58m 29.2s,"11° 51' 28""",4.3,A3
Al Nair,Alpha Gruis,22h 8m 13.6s,"-46° 57' 37""",2.2,B5
Albireo,Beta 1 Cygni,19h 30m 43.2s,"27° 57' 34""",3.2,K0
Aldebaran,Alpha Tauri,4h 35m 55.2s,"16° 30' 37""",1.1,K5
Algenib,Gamma Pegasi,0h 13m 14.1s,"15° 11' 1""",2.9,B2
Algieba,Gamma Leonis,10h 19m 57.9s,"19° 50' 32""",2.6,K0
Alphard,Alpha Hydrae,9h 27m 35.3s,"-8° 39' 32""",2.2,K2
Alpheratz,Alpha Andromedae,0h 8m 22.1s,"29° 5' 29""",2.1,AOp
Alrescha,Alpha Piscium,2h 2m 2.7s,"2° 45' 49""",4.3,A2p
Antares,Alpha Scorpii,16h 29m 24.4s,"-26° 25' 55""",1.2,M0
Arneb,Alpha Leporis,5h 32m 43.8s,"-17° 49' 20""",2.7,F0
Atria,Alpha Trianguli Australis,16h 48m 39.8s,"-69° 1' 40""",1.9,K2
Bellatrix,Gamma Orionis,5h 25m 7.8s,"6° 20' 59""",1.7,B2
Betelgeuse,Alpha Orionis,5h 55m 10.3s,"7° 24' 25""",0.3,M0
Canopus,Alpha Carinae,6h 23m 57.1s,"-52° 41' 45""",-0.9,F0
Capella,Alpha Aurigae,5h 16m 41.2s,"46° 0' 2""",0.2,G0
Castor,Alpha Geminorum,7h 34m 36.2s,"31° 53' 19""",1.6,A0
Cor Caroli,Alpha 2 Canem Venaticorum,12h 56m 2s,"38° 19' 5""",2.9,A0p
Deneb,Alpha Cygni,20h 41m 25.8s,"45° 16' 49""",1.3,A2
Denebola,Beta Leonis,11h 49m 4.2s,"14° 34' 22""",2.2,A2
Diphda,Beta Ceti,0h 43m 34.1s,"-17° 59' 12""",2.2,K0
Dnoces,Iota Ursae Majoris,8h 59.207m,48° 2.500',3.14,A7
Dubhe,Alpha Ursae Majoris,11h 3m 43.9s,"61° 45' 5""",1.9,K0
Fomalhaut,Alpha Piscis Austrini,22h 57m 38.4s,"-29° 37' 17""",1.3,A3
Gacrux,Gamma Crucis,12h 31m 9.9s,"-57° 6' 42""",1.6,M3
Hamal,Alpha Arietis,2h 7m 10.1s,"23° 27' 47""",2.2,K2
Kraz,Beta Corvi,12h 34m 23.2s,"-23° 23' 47""",2.8,G5
Markab,Alpha Pegasi,23h 4m 45.4s,"15° 12' 19""",2.6,A0
Menkar,Alpha Ceti,3h 2m 16.7s,"4° 5' 24""",2.8,M0
Merak,Beta Ursae Majoris,11h 1m 50.3s,"56° 22' 55""",2.4,A0
Miaplacidus,Beta Carinae,9h 13m 12.8s,"-69° 43' 4""",1.8,A0
Mimosa,Beta Crucis,12h 47m 43.4s,"-59° 41' 19""",1.5,B1
Mirach,Beta Andromedae,1h 9m 43.6s,"35° 37' 16""",2.4,M0
Mirfak,Alpha Persei,3h 24m 19.2s,"49° 51' 41""",1.9,F5
Navi,Epsilon Cassiopeiae,1h 54.395m,63° 40.200',3.38,B3
Nunki,Sigma Sagittarii,18h 55m 15.8s,"-26° 17' 47""",2.1,B3
Phact,Alpha Columbae,5h 39m 38.9s,"-34° 4' 27""",2.7,B5p
Polaris,Alpha Ursae Minoris,2h 31m 45.6s,"89° 15' 52""",2.1,F8
Pollux,Beta Geminorum,7h 45m 19.9s,"28° 1' 35""",1.2,K0
Porrima,Gamma Virginis,12h 41m 40.3s,"-1° 35' 58""",2.9,F0
Procyon,Alpha Canis Minoris,7h 39m 19s,"5° 13' 50""",0.5,F5
Ras Algethi,Alpha Herculis,17h 14m 38.8s,"14° 23' 24""",3.5,M3
Regor,Gamma 2 Velorum,8h 9m 31.9s,"-47° 20' 12""",1.9,Oap
Regulus,Alpha Leonis,10h 8m 22.7s,"11° 58' 1""",1.3,B8
Rigel,Beta Orionis,5h 14m 32.3s,"-8° 12' 6""",0.3,B8p
Rigilkent,Alpha Centauri,14h 39m 45.1s,"-60° 50' 21""",0.1,G0
Sadachbia,Gamma Aquarii,22h 21m 39.1s,"-1° 23' 15""",4,A0
Sadalmelik,Alpha Aquarii,22h 5m 46.9s,"0° 19' 11""",3.2,G0
Scheat,Beta Pegasi,23h 3m 46.1s,"28° 4' 56""",2.6,M0
Schedar,Alpha Cassiopeiae,0h 40m 30.3s,"56° 32' 15""",2.3,K0
Shaula,Lambda Scorpii,17h 33m 36.5s,"-37° 6' 13""",1.7,B2
Sirius,Alpha Canis Majoris,6h 45m 9.6s,"-16° 42' 34""",-1.6,A0
Spica,Alpha Virginis,13h 25m 11.6s,"-11° 9' 41""",1.2,B2
Suhail,Lambda Velorum,9h 7m 59.8s,"-43° 25' 58""",2.2,K5
Thuban,Alpha Draconis,14h 4m 23.5s,"64° 22' 33""",3.6,A0p
Unukalhai,Alpha Serpentis,15h 44m 15.8s,"6° 25' 31""",2.7,K0
Vega,Alpha Lyrae,18h 36m 55.9s,"38° 46' 55""",0.1,A0
Vindemiatrix,Epsilon Virginis,13h 2m 10.9s,"10° 57' 33""",2.9,K0
