Chart,Volume,Right ascension,Declination
1,I,6h 0m,87.5
2,I,18h 0m,87.5
3,I,0h 10m,78.5
4,I,2h 10m,78.5
5,I,4h 10m,78.5
6,I,6h 10m,78.5
7,I,8h 10m,78.5
8,I,10h 10m,78.5
9,I,12h 10m,78.5
10,I,14h 10m,78.5
11,I,16h 10m,78.5
12,I,18h 10m,78.5
13,I,20h 10m,78.5
14,I,22h 10m,78.5
15,I,0h 0m,66.5
16,I,1h 12m,66.5
17,I,2h 24m,66.5
18,I,3h 36m,66.5
19,I,4h 48m,66.5
20,I,6h 0m,66.5
21,I,7h 12m,66.5
22,I,8h 24m,66.5
23,I,9h 36m,66.5
24,I,10h 48m,66.5
25,I,12h 0m,66.5
26,I,13h 12m,66.5
27,I,14h 24m,66.5
28,I,15h 36m,66.5
29,I,16h 48m,66.5
30,I,18h 0m,66.5
31,I,19h 12m,66.5
32,I,20h 24m,66.5
33,I,21h 36m,66.5
34,I,22h 48m,66.5
35,I,0h 0m,55.5
36,I,1h 0m,55.5
37,I,2h 0m,55.5
38,I,3h 0m,55.5
39,I,4h 0m,55.5
40,I,5h 0m,55.5
41,I,6h 0m,55.5
42,I,7h 0m,55.5
43,I,8h 0m,55.5
44,I,9h 0m,55.5
45,I,10h 0m,55.5
46,I,11h 0m,55.5
47,I,12h 0m,55.5
48,I,13h 0m,55.5
49,I,14h 0m,55.5
50,I,15h 0m,55.5
51,I,16h 0m,55.5
52,I,17h 0m,55.5
53,I,18h 0m,55.5
54,I,19h 0m,55.5
55,I,20h 0m,55.5
56,I,21h 0m,55.5
57,I,22h 0m,55.5
58,I,23h 0m,55.5
59,I,0h 0m,44.5
60,I,0h 48m,44.5
61,I,1h 36m,44.5
62,I,2h 24m,44.5
63,I,3h 12m,44.5
64,I,4h 0m,44.5
65,I,4h 48m,44.5
66,I,5h 36m,44.5
67,I,6h 24m,44.5
68,I,7h 12m,44.5
69,I,8h 0m,44.5
70,I,8h 48m,44.5
71,I,9h 36m,44.5
72,I,10h 24m,44.5
73,I,11h 12m,44.5
74,I,12h 0m,44.5
75,I,12h 48m,44.5
76,I,13h 36m,44.5
77,I,14h 24m,44.5
78,I,15h 12m,44.5
79,I,16h 0m,44.5
80,I,16h 48m,44.5
81,I,17h 36m,44.5
82,I,18h 24m,44.5
83,I,19h 12m,44.5
84,I,20h 0m,44.5
85,I,20h 48m,44.5
86,I,21h 36m,44.5
87,I,22h 24m,44.5
88,I,23h 12m,44.5
89,I,0h 0m,33.5
90,I,0h 40m,33.5
91,I,1h 20m,33.5
92,I,2h 0m,33.5
93,I,2h 40m,33.5
94,I,3h 20m,33.5
95,I,4h 0m,33.5
96,I,4h 40m,33.5
97,I,5h 20m,33.5
98,I,6h 0m,33.5
99,I,6h 40m,33.5
100,I,7h 20m,33.5
101,I,8h 0m,33.5
102,I,8h 40m,33.5
103,I,9h 20m,33.5
104,I,10h 0m,33.5
105,I,10h 40m,33.5
106,I,11h 20m,33.5
107,I,12h 0m,33.5
108,I,12h 40m,33.5
109,I,13h 20m,33.5
110,I,14h 0m,33.5
111,I,14h 40m,33.5
112,I,15h 20m,33.5
113,I,16h 0m,33.5
114,I,16h 40m,33.5
115,I,17h 20m,33.5
116,I,18h 0m,33.5
117,I,18h 40m,33.5
118,I,19h 20m,33.5
119,I,20h 0m,33.5
120,I,20h 40m,33.5
121,I,21h 20m,33.5
122,I,22h 0m,33.5
123,I,22h 40m,33.5
124,I,23h 20m,33.5
125,I,0h 0m,22.5
126,I,0h 32m,22.5
127,I,1h 4m,22.5
128,I,1h 36m,22.5
129,I,2h 8m,22.5
130,I,2h 40m,22.5
131,I,3h 12m,22.5
132,I,3h 44m,22.5
133,I,4h 16m,22.5
134,I,4h 48m,22.5
135,I,5h 20m,22.5
136,I,5h 52m,22.5
137,I,6h 24m,22.5
138,I,6h 56m,22.5
139,I,7h 28m,22.5
140,I,8h 0m,22.5
141,I,8h 32m,22.5
142,I,9h 4m,22.5
143,I,9h 36m,22.5
144,I,10h 8m,22.5
145,I,10h 40m,22.5
146,I,11h 12m,22.5
147,I,11h 44m,22.5
148,I,12h 16m,22.5
149,I,12h 48m,22.5
150,I,13h 20m,22.5
151,I,13h 52m,22.5
152,I,14h 24m,22.5
153,I,14h 56m,22.5
154,I,15h 28m,22.5
155,I,16h 0m,22.5
156,I,16h 32m,22.5
157,I,17h 4m,22.5
158,I,17h 36m,22.5
159,I,18h 8m,22.5
160,I,18h 40m,22.5
161,I,19h 12m,22.5
162,I,19h 44m,22.5
163,I,20h 16m,22.5
164,I,20h 48m,22.5
165,I,21h 20m,22.5
166,I,21h 52m,22.5
167,I,22h 24m,22.5
168,I,22h 56m,22.5
169,I,23h 28m,22.5
170,I,0h 0m,11.5
171,I,0h 32m,11.5
172,I,1h 4m,11.5
173,I,1h 36m,11.5
174,I,2h 8m,11.5
175,I,2h 40m,11.5
176,I,3h 12m,11.5
177,I,3h 44m,11.5
178,I,4h 16m,11.5
179,I,4h 48m,11.5
180,I,5h 20m,11.5
181,I,5h 52m,11.5
182,I,6h 24m,11.5
183,I,6h 56m,11.5
184,I,7h 28m,11.5
185,I,8h 0m,11.5
186,I,8h 32m,11.5
187,I,9h 4m,11.5
188,I,9h 36m,11.5
189,I,10h 8m,11.5
190,I,10h 40m,11.5
191,I,11h 12m,11.5
192,I,11h 44m,11.5
193,I,12h 16m,11.5
194,I,12h 48m,11.5
195,I,13h 20m,11.5
196,I,13h 52m,11.5
197,I,14h 24m,11.5
198,I,14h 56m,11.5
199,I,15h 28m,11.5
200,I,16h 0m,11.5
201,I,16h 32m,11.5
202,I,17h 4m,11.5
203,I,17h 36m,11.5
204,I,18h 8m,11.5
205,I,18h 40m,11.5
206,I,19h 12m,11.5
207,I,19h 44m,11.5
208,I,20h 16m,11.5
209,I,20h 48m,11.5
210,I,21h 20m,11.5
211,I,21h 52m,11.5
212,I,22h 24m,11.5
213,I,22h 56m,11.5
214,I,23h 28m,11.5
215,"I,II",0h 0m,0
216,"I,II",0h 32m,0
217,"I,II",1h 4m,0
218,"I,II",1h 36m,0
219,"I,II",2h 8m,0
220,"I,II",2h 40m,0
221,"I,II",3h 12m,0
222,"I,II",3h 44m,0
223,"I,II",4h 16m,0
224,"I,II",4h 48m,0
225,"I,II",5h 20m,0
226,"I,II",5h 52m,0
227,"I,II",6h 24m,0
228,"I,II",6h 56m,0
229,"I,II",7h 28m,0
230,"I,II",8h 0m,0
231,"I,II",8h 32m,0
232,"I,II",9h 4m,0
233,"I,II",9h 36m,0
234,"I,II",10h 8m,0
235,"I,II",10h 40m,0
236,"I,II",11h 12m,0
237,"I,II",11h 44m,0
238,"I,II",12h 16m,0
239,"I,II",12h 48m,0
240,"I,II",13h 20m,0
241,"I,II",13h 52m,0
242,"I,II",14h 24m,0
243,"I,II",14h 56m,0
244,"I,II",15h 28m,0
245,"I,II",16h 0m,0
246,"I,II",16h 32m,0
247,"I,II",17h 4m,0
248,"I,II",17h 36m,0
249,"I,II",18h 8m,0
250,"I,II",18h 40m,0
251,"I,II",19h 12m,0
252,"I,II",19h 44m,0
253,"I,II",20h 16m,0
254,"I,II",20h 48m,0
255,"I,II",21h 20m,0
256,"I,II",21h 52m,0
257,"I,II",22h 24m,0
258,"I,II",22h 56m,0
259,"I,II",23h 28m,0
260,II,0h 0m,-11.5
261,II,0h 32m,-11.5
262,II,1h 4m,-11.5
263,II,1h 36m,-11.5
264,II,2h 8m,-11.5
265,II,2h 40m,-11.5
266,II,3h 12m,-11.5
267,II,3h 44m,-11.5
268,II,4h 16m,-11.5
269,II,4h 48m,-11.5
270,II,5h 20m,-11.5
271,II,5h 52m,-11.5
272,II,6h 24m,-11.5
273,II,6h 56m,-11.5
274,II,7h 28m,-11.5
275,II,8h 0m,-11.5
276,II,8h 32m,-11.5
277,II,9h 4m,-11.5
278,II,9h 36m,-11.5
279,II,10h 8m,-11.5
280,II,10h 40m,-11.5
281,II,11h 12m,-11.5
282,II,11h 44m,-11.5
283,II,12h 16m,-11.5
284,II,12h 48m,-11.5
285,II,13h 20m,-11.5
286,II,13h 52m,-11.5
287,II,14h 24m,-11.5
288,II,14h 56m,-11.5
289,II,15h 28m,-11.5
290,II,16h 0m,-11.5
291,II,16h 32m,-11.5
292,II,17h 4m,-11.5
293,II,17h 36m,-11.5
294,II,18h 8m,-11.5
295,II,18h 40m,-11.5
296,II,19h 12m,-11.5
297,II,19h 44m,-11.5
298,II,20h 16m,-11.5
299,II,20h 48m,-11.5
300,II,21h 20m,-11.5
301,II,21h 52m,-11.5
302,II,22h 24m,-11.5
303,II,22h 56m,-11.5
304,II,23h 28m,-11.5
305,II,0h 0m,-22.5
306,II,0h 32m,-22.5
307,II,1h 4m,-22.5
308,II,1h 36m,-22.5
309,II,2h 8m,-22.5
310,II,2h 40m,-22.5
311,II,3h 12m,-22.5
312,II,3h 44m,-22.5
313,II,4h 16m,-22.5
314,II,4h 48m,-22.5
315,II,5h 20m,-22.5
316,II,5h 52m,-22.5
317,II,6h 24m,-22.5
318,II,6h 56m,-22.5
319,II,7h 28m,-22.5
320,II,8h 0m,-22.5
321,II,8h 32m,-22.5
322,II,9h 4m,-22.5
323,II,9h 36m,-22.5
324,II,10h 8m,-22.5
325,II,10h 40m,-22.5
326,II,11h 12m,-22.5
327,II,11h 44m,-22.5
328,II,12h 16m,-22.5
329,II,12h 48m,-22.5
330,II,13h 20m,-22.5
331,II,13h 52m,-22.5
332,II,14h 24m,-22.5
333,II,14h 56m,-22.5
334,II,15h 28m,-22.5
335,II,16h 0m,-22.5
336,II,16h 32m,-22.5
337,II,17h 4m,-22.5
338,II,17h 36m,-22.5
339,II,18h 8m,-22.5
340,II,18h 40m,-22.5
341,II,19h 12m,-22.5
342,II,19h 44m,-22.5
343,II,20h 16m,-22.5
344,II,20h 48m,-22.5
345,II,21h 20m,-22.5
346,II,21h 52m,-22.5
347,II,22h 24m,-22.5
348,II,22h 56m,-22.5
349,II,23h 28m,-22.5
350,II,0h 0m,-33.5
351,II,0h 40m,-33.5
352,II,1h 20m,-33.5
353,II,2h 0m,-33.5
354,II,2h 40m,-33.5
355,II,3h 20m,-33.5
356,II,4h 0m,-33.5
357,II,4h 40m,-33.5
358,II,5h 20m,-33.5
359,II,6h 0m,-33.5
360,II,6h 40m,-33.5
361,II,7h 20m,-33.5
362,II,8h 0m,-33.5
363,II,8h 40m,-33.5
364,II,9h 20m,-33.5
365,II,10h 0m,-33.5
366,II,10h 40m,-33.5
367,II,11h 20m,-33.5
368,II,12h 0m,-33.5
369,II,12h 40m,-33.5
370,II,13h 20m,-33.5
371,II,14h 0m,-33.5
372,II,14h 40m,-33.5
373,II,15h 20m,-33.5
374,II,16h 0m,-33.5
375,II,16h 40m,-33.5
376,II,17h 20m,-33.5
377,II,18h 0m,-33.5
378,II,18h 40m,-33.5
379,II,19h 20m,-33.5
380,II,20h 0m,-33.5
381,II,20h 40m,-33.5
382,II,21h 20m,-33.5
383,II,22h 0m,-33.5
384,II,22h 40m,-33.5
385,II,23h 20m,-33.5
386,II,0h 0m,-44.5
387,II,0h 48m,-44.5
388,II,1h 36m,-44.5
389,II,2h 24m,-44.5
390,II,3h 12m,-44.5
391,II,4h 0m,-44.5
392,II,4h 48m,-44.5
393,II,5h 36m,-44.5
394,II,6h 24m,-44.5
395,II,7h 12m,-44.5
396,II,8h 0m,-44.5
397,II,8h 48m,-44.5
398,II,9h 36m,-44.5
399,II,10h 24m,-44.5
400,II,11h 12m,-44.5
401,II,12h 0m,-44.5
402,II,12h 48m,-44.5
403,II,13h 36m,-44.5
404,II,14h 24m,-44.5
405,II,15h 12m,-44.5
406,II,16h 0m,-44.5
407,II,16h 48m,-44.5
408,II,17h 36m,-44.5
409,II,18h 24m,-44.5
410,II,19h 12m,-44.5
411,II,20h 0m,-44.5
412,II,20h 48m,-44.5
413,II,21h 36m,-44.5
414,II,22h 24m,-44.5
415,II,23h 12m,-44.5
416,II,0h 0m,-55.5
417,II,1h 0m,-55.5
418,II,2h 0m,-55.5
419,II,3h 0m,-55.5
420,II,4h 0m,-55.5
421,II,5h 0m,-55.5
422,II,6h 0m,-55.5
423,II,7h 0m,-55.5
424,II,8h 0m,-55.5
425,II,9h 0m,-55.5
426,II,10h 0m,-55.5
427,II,11h 0m,-55.5
428,II,12h 0m,-55.5
429,II,13h 0m,-55.5
430,II,14h 0m,-55.5
431,II,15h 0m,-55.5
432,II,16h 0m,-55.5
433,II,17h 0m,-55.5
434,II,18h 0m,-55.5
435,II,19h 0m,-55.5
436,II,20h 0m,-55.5
437,II,21h 0m,-55.5
438,II,22h 0m,-55.5
439,II,23h 0m,-55.5
440,II,0h 0m,-66.5
441,II,1h 12m,-66.5
442,II,2h 24m,-66.5
443,II,3h 36m,-66.5
444,II,4h 48m,-66.5
445,II,6h 0m,-66.5
446,II,7h 12m,-66.5
447,II,8h 24m,-66.5
448,II,9h 36m,-66.5
449,II,10h 48m,-66.5
450,II,12h 0m,-66.5
451,II,13h 12m,-66.5
452,II,14h 24m,-66.5
453,II,15h 36m,-66.5
454,II,16h 48m,-66.5
455,II,18h 0m,-66.5
456,II,19h 12m,-66.5
457,II,20h 24m,-66.5
458,II,21h 36m,-66.5
459,II,22h 48m,-66.5
460,II,0h 10m,-78.5
461,II,2h 10m,-78.5
462,II,4h 10m,-78.5
463,II,6h 10m,-78.5
464,II,8h 10m,-78.5
465,II,10h 10m,-78.5
466,II,12h 10m,-78.5
467,II,14h 10m,-78.5
468,II,16h 10m,-78.5
469,II,18h 10m,-78.5
470,II,20h 10m,-78.5
471,II,22h 10m,-78.5
472,II,18h 0m,-87.5
473,II,6h 0m,-87.5
